#20        /15000 episodes , avg train score : -7.8, test score: 0.2 n_buffer : 1401
#40        /15000 episodes , avg train score : -11.6, test score: -2.0 n_buffer : 3177
#60        /15000 episodes , avg train score : -2.4, test score: -2.0 n_buffer : 5177
/home/vivianchen/Desktop/workspace/ma_gym_dataset/scripts/maddpg.py:35: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /opt/conda/conda-bld/pytorch_1670525493953/work/torch/csrc/utils/tensor_new.cpp:230.)
  torch.tensor(a_lst, dtype=torch.float), \
#2740      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2760      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2780      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2800      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2820      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2840      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2860      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2880      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2900      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2920      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2940      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2960      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#2980      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3000      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3020      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3040      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3060      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3080      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3100      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3120      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3140      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3160      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3180      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3200      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3220      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3240      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3260      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3280      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3300      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3320      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3340      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3360      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3380      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3400      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3420      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3440      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3460      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3480      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3500      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3520      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3540      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3560      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3580      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3600      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3620      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3640      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3660      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3680      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3700      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3720      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3740      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3760      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3780      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3800      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3820      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3840      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3860      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3880      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3900      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3920      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3940      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3960      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#3980      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4000      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4020      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4040      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4060      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4080      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4100      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4120      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4140      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4160      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4180      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4200      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4220      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4240      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4260      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4280      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4300      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4320      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4340      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4360      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4380      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4400      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4420      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4440      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4460      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4480      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4500      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4520      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4540      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4560      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4580      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4600      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4620      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4640      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4660      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4680      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
#4700      /15000 episodes , avg train score : -2.1, test score: -2.0 n_buffer : 50000
#4720      /15000 episodes , avg train score : -2.0, test score: -2.0 n_buffer : 50000
